Lozinka,Spol,Godina rodjenja,Materinski jezik,Fakultet,Godina studija,Navedite dob (u godinama starosti) početka izloženosti engleskom jeziku,Navedite dob (u godinama starosti) u kojoj ste počeli učiti engleski jezik,Odaberite tvrdnju koja najbolje opisuje Vaše znanje engleskog jezika,Procijenite ukupno vrijeme koje provodite služeći se engleskim jezikom,Lextale_acc
S3,M,2004,hrvatski,pomorski,1.,6,7,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.7301587301587301
06,Z,2003,Hrvatski,Pomorski fakultet Rijeka,1.,5,7,Mogu razmjerno tečno i spontano komunicirati,1h,0.6190476190476191
04,M,2001,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,1h,0.7936507936507936
S22,M,2004,hrvatski,pomorski,1.,5,6,Mogu samostalno koristiti jezik u većini situacija,3h,0.7301587301587301
27,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,3,7,Bez teškoća razumijem i koristim jezik različitih stilova,3h,0.7301587301587301
03,Z,2003,hrvatski,Pomorski fakultet Rijeka,1.,6,6,Mogu samostalno koristiti jezik u većini situacija,≥5h,0.6349206349206349
S2,Z,2002,hrvatski,pomorski,1.,5.,7,Mogu prepoznati i koristiti jednostavne jezične strukture vezane uz meni poznate teme,3h,0.5396825396825397
S1MA73MĆ,M,2001,hrvatski,pomorski,1.,5.,6.,Mogu razmjerno tečno i spontano komunicirati,2h,0.8095238095238095
S10,M,2002,hrvatski,pomorski,2.,2,5,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.8888888888888888
S24,M,2002,hrvatski,pomorski,1.,5,6,Mogu samostalno koristiti jezik u većini situacija,3h,0.6349206349206349
11,M,2004,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,4h,0.4603174603174603
S9,M,2003,hrvatski,pomorski,1.,4,6.,Mogu samostalno koristiti jezik u većini situacija,1h,0.5555555555555556
S27,M,2003,hrvatski,pomorski,1.,4,7,Mogu samostalno koristiti jezik u većini situacija,3h,0.6031746031746031
23,M,2003,češki,Pomorski fakultet Rijeka,1.,6.,8,Mogu samostalno koristiti jezik u većini situacija,3h,0.6190476190476191
S35,Z,2002,hrvatski,logopedija,2.,4,7,Mogu razmjerno tečno i spontano komunicirati,3h,0.7619047619047619
28,M,2003,hrvatski,Pomorski fakultet,1.,7,7,Mogu razmjerno tečno i spontano komunicirati,1h,0.6349206349206349
16,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,6,7,Mogu samostalno koristiti jezik u većini situacija,≥5h,0.7301587301587301
15,M,2002,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.7301587301587301
S8,M,2003,hrvatski,pomorski,1.,5.,7,Mogu razmjerno tečno i spontano komunicirati,1h,0.6031746031746031
19,Z,2002,hrvatski,Logopedija,2.,5,6,Mogu razmjerno tečno i spontano komunicirati,1h,0.7936507936507936
18,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,5,7,Mogu samostalno koristiti jezik u većini situacija,4h,0.6031746031746031
AOEU,M,aoe,aoeu,aoeu,aoeu,aoeu,aoeu,Mogu prepoznati i koristiti najosnovnije fraze,<=0.5,0.6666666666666666
S17,M,2001,hrvatski,pomorski,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,1h,0.6984126984126984
29,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,8,8,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.5238095238095238
S16,M,2003,hrvatski,pomorski,1.,6,7,Mogu samostalno koristiti jezik u većini situacija,3h,0.7777777777777778
32,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,5,6,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.6666666666666666
S7,M,2003,hrvatski,pomorski,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,3h,0.5873015873015873
07,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,8,7,Bez teškoća razumijem i koristim jezik različitih stilova,3h,0.8253968253968254
S33,Z,2002,hrvatski,logopedija,2.,6,7,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.9206349206349206
S31,Z,2002,hrvatski,logopedija,2.,6,6,Mogu razmjerno tečno i spontano komunicirati,3h,0.7142857142857143
25,Z,2002,Hrvatski,Logopedija,2.,5,7,Bez teškoća razumijem i koristim jezik različitih stilova,3h,0.7619047619047619
S4,M,2003,hrvatski,pomorski,1.,7,8,Mogu prepoznati i koristiti jednostavne jezične strukture vezane uz meni poznate teme,2h,0.6507936507936508
10,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,6,7,Mogu razmjerno tečno i spontano komunicirati,2h,0.7936507936507936
09,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Mogu razmjerno tečno i spontano komunicirati,3h,0.5079365079365079
S20,M,2003,hrvatski,pomorski,2.,6,9,Mogu samostalno koristiti jezik u većini situacija,1h,0.6190476190476191
30,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,16,3,Mogu samostalno koristiti jezik u većini situacija,<=0.5,0.6031746031746031
14,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Bez teškoća razumijem i koristim jezik različitih stilova,2h,0.6984126984126984
20,M,2004,Hrvatski,Pomorski fakultet Rijeka,1.,5,6,Mogu razmjerno tečno i spontano komunicirati,4h,0.6666666666666666
S6,M,2002,hrvatski,pomorski,2.,4,7,Mogu razmjerno tečno i spontano komunicirati,4h,0.5396825396825397
S28,Z,2002,hrvatski,logopedija,2.,5,6,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.8095238095238095
S13,M,2002,hrvatski,pomorski,1.,7,19,Mogu prepoznati i koristiti najosnovnije fraze,3h,0.5238095238095238
S14,M,2003,hrvatski,pomorski,1.,7,9,Mogu prepoznati i koristiti jednostavne jezične strukture vezane uz meni poznate teme,1h,0.5873015873015873
S12,M,2001,hrvatski,pomorski,1.,6,7,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.873015873015873
31,M,2003,Hrvatski,Pomorski fakultet Rijeka,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,2h,0.5396825396825397
S26,M,2004,hrvatski,pomorski,1.,4,6.,Mogu razmjerno tečno i spontano komunicirati,4h,0.746031746031746
S32,Z,2002,hrvatski,logopedija,2.,6,7,Mogu razmjerno tečno i spontano komunicirati,2h,0.6984126984126984
26,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,5,7,Mogu samostalno koristiti jezik u većini situacija,3h,0.6349206349206349
21,Z,2000,hrvatski,Logopedija,2.,5,6,Mogu samostalno koristiti jezik u većini situacija,<=0.5,0.6984126984126984
S29,Z,2002,hrvatski,logopedija,2.,8,9,Mogu razmjerno tečno i spontano komunicirati,2h,0.7142857142857143
22,M,2004,hrvatski,Pomorski fakultet Rijeka,1.,5,6,Mogu prepoznati i koristiti jednostavne jezične strukture vezane uz meni poznate teme,<=0.5,0.5396825396825397
13,Z,2002,hrvatski,Logopedija,2.,4,7,Mogu razmjerno tečno i spontano komunicirati,4h,0.8253968253968254
12,M,2004,Hrvatski,Pomorski fakultet Rijeka,1.,5,6,Bez teškoća razumijem i koristim jezik različitih stilova,≥5h,0.873015873015873
S11,M,2002,hrvatski,pomorski,1.,5.,6.,Mogu samostalno koristiti jezik u većini situacija,1h,0.4444444444444444
S15,M,2004,hrvatski,pomorski,1.,6,6.,Mogu razmjerno tečno i spontano komunicirati,3h,0.6984126984126984
S34,M,2002,hrvatski,logopedija,2.,4,5,Mogu razmjerno tečno i spontano komunicirati,2h,0.5238095238095238
24,Z,2001,hrvatski,Logopedija,2.,6,7,Bez teškoća razumijem i koristim jezik različitih stilova,4h,0.6349206349206349
05,M,2003,Hrvatski,Pomorski fakultet,1.,6,7,Mogu samostalno koristiti jezik u većini situacija,<=0.5,0.6825396825396826
17,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,5,7,Mogu samostalno koristiti jezik u većini situacija,2h,0.6190476190476191
S5,M,2003,hrvatski,pomorski,1.,6,7,Mogu razmjerno tečno i spontano komunicirati,4h,0.746031746031746
S21,M,2003,hrvatski,pomorski,1.,5.,6.,Bez teškoća razumijem i koristim jezik različitih stilova,1h,0.6666666666666666
02MA03GC,M,2003,hrvatski,Pomorski fakultet Rijeka,1.,4,6,Mogu razmjerno tečno i spontano komunicirati,3h,0.7936507936507936
S18,Z,2002,hrvatski,pomorski,2.,5.,7,Bez teškoća razumijem i koristim jezik različitih stilova,3h,0.6825396825396826
8,M,2004,hrvatski,Pomorski fakultet Rijeka,1.,7,7,Bez teškoća razumijem i koristim jezik različitih stilova,4h,0.8253968253968254
S23,M,2002,hrvatski,pomorski,1.,7,7,Mogu samostalno koristiti jezik u većini situacija,4h,0.746031746031746
S30,Z,2002,hrvatski,logopedija,2.,7,10,Mogu samostalno koristiti jezik u većini situacija,2h,0.7777777777777778
S19,M,2002,hrvatski,pomorski,2.,7,7,Mogu razmjerno tečno i spontano komunicirati,2h,0.5873015873015873